date,state,orgs,category,type,species,age,count
2016,AL,64,gross live outcomes,return to field,cats,adult,613
2016,AL,64,gross live outcomes,return to field,cats,up to 5mo,129
2016,AL,64,gross live outcomes,return to field,cats,unknown,90
2016,AL,64,gross live outcomes,other live outcome,cats,adult,80
2016,AL,64,gross live outcomes,other live outcome,cats,up to 5mo,23
2016,AL,64,gross live outcomes,other live outcome,cats,unknown,21
2016,AL,64,other outcomes,died in care,dogs,adult,130
2016,AL,64,other outcomes,died in care,dogs,up to 5mo,207
2016,AL,64,other outcomes,died in care,dogs,unknown,141
2016,AL,64,other outcomes,lost in care,dogs,adult,38
2016,AL,64,other outcomes,lost in care,dogs,up to 5mo,3
2016,AL,64,other outcomes,lost in care,dogs,unknown,18
2016,AL,64,other outcomes,shelter euthanasia,dogs,adult,1771
2016,AL,64,other outcomes,shelter euthanasia,dogs,up to 5mo,1194
2016,AL,64,other outcomes,shelter euthanasia,dogs,unknown,5124
2016,AL,64,other outcomes,owner-intended euthanasia,dogs,adult,57
2016,AL,64,other outcomes,owner-intended euthanasia,dogs,up to 5mo,6
2016,AL,64,other outcomes,owner-intended euthanasia,dogs,unknown,25
2016,AL,64,other outcomes,died in care,cats,adult,52
2016,AL,64,other outcomes,died in care,cats,up to 5mo,209
2016,AL,64,other outcomes,died in care,cats,unknown,146
2016,AL,64,other outcomes,lost in care,cats,adult,31
2016,AL,64,other outcomes,lost in care,cats,up to 5mo,7
2016,AL,64,other outcomes,lost in care,cats,unknown,19
2016,AL,64,other outcomes,shelter euthanasia,cats,adult,1245
2016,AL,64,other outcomes,shelter euthanasia,cats,up to 5mo,2442
2016,AL,64,other outcomes,shelter euthanasia,cats,unknown,4870
2016,AL,64,other outcomes,owner-intended euthanasia,cats,adult,29
2016,AL,64,other outcomes,owner-intended euthanasia,cats,up to 5mo,1
2016,AL,64,other outcomes,owner-intended euthanasia,cats,unknown,10
2016,AR,40,gross intakes,stray/at large,dogs,adult,4855
2016,AR,40,gross intakes,stray/at large,dogs,up to 5mo,2022
2016,AR,40,gross intakes,stray/at large,dogs,unknown,784
2016,AR,40,gross intakes,relinquished by owner,dogs,adult,814
2016,AR,40,gross intakes,relinquished by owner,dogs,up to 5mo,684
2016,AR,40,gross intakes,relinquished by owner,dogs,unknown,78
2016,AR,40,gross intakes,transfer in from agency,dogs,adult,491
2016,AR,40,gross intakes,transfer in from agency,dogs,up to 5mo,436
2016,AR,40,gross intakes,transfer in from agency,dogs,unknown,10
2016,AR,40,gross intakes,other intakes,dogs,adult,390
2016,AR,40,gross intakes,other intakes,dogs,up to 5mo,204
2016,AR,40,gross intakes,other intakes,dogs,unknown,35
2016,AR,40,gross intakes,owner-intended euthanasia,dogs,adult,39
2016,AR,40,gross intakes,owner-intended euthanasia,dogs,up to 5mo,52
2016,AR,40,gross intakes,owner-intended euthanasia,dogs,unknown,6
2016,AR,40,gross intakes,stray/at large,cats,adult,2198
2016,AR,40,gross intakes,stray/at large,cats,up to 5mo,1273
2016,AR,40,gross intakes,stray/at large,cats,unknown,552
2016,AR,40,gross intakes,relinquished by owner,cats,adult,332
2016,AR,40,gross intakes,relinquished by owner,cats,up to 5mo,175
2016,AR,40,gross intakes,relinquished by owner,cats,unknown,60
2016,AR,40,gross intakes,transfer in from agency,cats,adult,62
2016,AR,40,gross intakes,transfer in from agency,cats,up to 5mo,15
2016,AR,40,gross intakes,transfer in from agency,cats,unknown,6
2016,AR,40,gross intakes,other intakes,cats,adult,79
2016,AR,40,gross intakes,other intakes,cats,up to 5mo,83
2016,AR,40,gross intakes,other intakes,cats,unknown,18
2016,AR,40,gross intakes,owner-intended euthanasia,cats,adult,6
2016,AR,40,gross intakes,owner-intended euthanasia,cats,up to 5mo,0
2016,AR,40,gross intakes,owner-intended euthanasia,cats,unknown,3
2016,AR,40,gross live outcomes,adoption,dogs,adult,2552
2016,AR,40,gross live outcomes,adoption,dogs,up to 5mo,1653
2016,AR,40,gross live outcomes,adoption,dogs,unknown,601
2016,AR,40,gross live outcomes,return to owner,dogs,adult,1017
2016,AR,40,gross live outcomes,return to owner,dogs,up to 5mo,61
2016,AR,40,gross live outcomes,return to owner,dogs,unknown,238
2016,AR,40,gross live outcomes,transfer to another agency,dogs,adult,1151
2016,AR,40,gross live outcomes,transfer to another agency,dogs,up to 5mo,831
2016,AR,40,gross live outcomes,transfer to another agency,dogs,unknown,18
2016,AR,40,gross live outcomes,return to field,dogs,adult,0
2016,AR,40,gross live outcomes,return to field,dogs,up to 5mo,0
2016,AR,40,gross live outcomes,return to field,dogs,unknown,0
2016,AR,40,gross live outcomes,other live outcome,dogs,adult,140
2016,AR,40,gross live outcomes,other live outcome,dogs,up to 5mo,16
2016,AR,40,gross live outcomes,other live outcome,dogs,unknown,2
2016,AR,40,gross live outcomes,adoption,cats,adult,1320
2016,AR,40,gross live outcomes,adoption,cats,up to 5mo,743
2016,AR,40,gross live outcomes,adoption,cats,unknown,510
2016,AR,40,gross live outcomes,return to owner,cats,adult,99
2016,AR,40,gross live outcomes,return to owner,cats,up to 5mo,15
2016,AR,40,gross live outcomes,return to owner,cats,unknown,14
2016,AR,40,gross live outcomes,transfer to another agency,cats,adult,116
2016,AR,40,gross live outcomes,transfer to another agency,cats,up to 5mo,48
2016,AR,40,gross live outcomes,transfer to another agency,cats,unknown,9
2016,AR,40,gross live outcomes,return to field,cats,adult,126
2016,AR,40,gross live outcomes,return to field,cats,up to 5mo,9
2016,AR,40,gross live outcomes,return to field,cats,unknown,4
2016,AR,40,gross live outcomes,other live outcome,cats,adult,37
2016,AR,40,gross live outcomes,other live outcome,cats,up to 5mo,17
2016,AR,40,gross live outcomes,other live outcome,cats,unknown,8
2016,AR,40,other outcomes,died in care,dogs,adult,86
2016,AR,40,other outcomes,died in care,dogs,up to 5mo,140
2016,AR,40,other outcomes,died in care,dogs,unknown,1
2016,AR,40,other outcomes,lost in care,dogs,adult,21
2016,AR,40,other outcomes,lost in care,dogs,up to 5mo,5
2016,AR,40,other outcomes,lost in care,dogs,unknown,3
2016,AR,40,other outcomes,shelter euthanasia,dogs,adult,1351
2016,AR,40,other outcomes,shelter euthanasia,dogs,up to 5mo,407
2016,AR,40,other outcomes,shelter euthanasia,dogs,unknown,28
2016,AR,40,other outcomes,owner-intended euthanasia,dogs,adult,10
2016,AR,40,other outcomes,owner-intended euthanasia,dogs,up to 5mo,0
2016,AR,40,other outcomes,owner-intended euthanasia,dogs,unknown,2
2016,AR,40,other outcomes,died in care,cats,adult,48
2016,AR,40,other outcomes,died in care,cats,up to 5mo,191
2016,AR,40,other outcomes,died in care,cats,unknown,25
2016,AR,40,other outcomes,lost in care,cats,adult,51
2016,AR,40,other outcomes,lost in care,cats,up to 5mo,2
2016,AR,40,other outcomes,lost in care,cats,unknown,0
2016,AR,40,other outcomes,shelter euthanasia,cats,adult,814
2016,AR,40,other outcomes,shelter euthanasia,cats,up to 5mo,277
